"filename", "language", "C++", "Markdown", "GLSL", "Batch", "comment", "blank", "total"
"d:\Projects\Thesis\README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"d:\Projects\Thesis\src\app\application.cpp", "C++", 73, 0, 0, 0, 5, 17, 95
"d:\Projects\Thesis\src\app\application.h", "C++", 72, 0, 0, 0, 5, 11, 88
"d:\Projects\Thesis\src\main.cpp", "C++", 13, 0, 0, 0, 0, 0, 13
"d:\Projects\Thesis\src\memory_mger.h", "C++", 27, 0, 0, 0, 5, 9, 41
"d:\Projects\Thesis\src\pch.h", "C++", 3, 0, 0, 0, 0, 1, 4
"d:\Projects\Thesis\src\sdl\sdl_base.cpp", "C++", 112, 0, 0, 0, 0, 15, 127
"d:\Projects\Thesis\src\sdl\sdl_base.h", "C++", 21, 0, 0, 0, 0, 4, 25
"d:\Projects\Thesis\src\thesis.h", "C++", 6, 0, 0, 0, 0, 3, 9
"d:\Projects\Thesis\src\vk\shaders\compile_shaders.bat", "Batch", 0, 0, 0, 2, 0, 0, 2
"d:\Projects\Thesis\src\vk\shaders\triangle.frag", "GLSL", 0, 0, 7, 0, 0, 2, 9
"d:\Projects\Thesis\src\vk\shaders\triangle.vert", "GLSL", 0, 0, 17, 0, 0, 4, 21
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 95, 0, 0, 0, 4, 16, 115
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 306, 0, 0, 0, 1, 54, 361
"d:\Projects\Thesis\src\vk\vulkan_instance.cpp", "C++", 194, 0, 0, 0, 19, 17, 230
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 137, 0, 0, 0, 11, 28, 176
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 1064, 1, 24, 2, 50, 183, 1324
