"filename", "language", "C++", "Markdown", "GLSL", "Batch", "comment", "blank", "total"
"d:\dev\Neuer Ordner (3)\README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"d:\dev\Neuer Ordner (3)\src\app\application.cpp", "C++", 214, 0, 0, 0, 7, 34, 255
"d:\dev\Neuer Ordner (3)\src\app\application.h", "C++", 78, 0, 0, 0, 5, 11, 94
"d:\dev\Neuer Ordner (3)\src\main.cpp", "C++", 13, 0, 0, 0, 0, 1, 14
"d:\dev\Neuer Ordner (3)\src\memory_mger.h", "C++", 27, 0, 0, 0, 5, 9, 41
"d:\dev\Neuer Ordner (3)\src\pch.h", "C++", 26, 0, 0, 0, 0, 4, 30
"d:\dev\Neuer Ordner (3)\src\sdl\sdl_base.cpp", "C++", 135, 0, 0, 0, 0, 15, 150
"d:\dev\Neuer Ordner (3)\src\sdl\sdl_base.h", "C++", 22, 0, 0, 0, 0, 4, 26
"d:\dev\Neuer Ordner (3)\src\thesis.h", "C++", 6, 0, 0, 0, 0, 3, 9
"d:\dev\Neuer Ordner (3)\src\vk\shaders\compile_shaders.bat", "Batch", 0, 0, 0, 3, 0, 0, 3
"d:\dev\Neuer Ordner (3)\src\vk\shaders\triangle.frag", "GLSL", 0, 0, 7, 0, 0, 2, 9
"d:\dev\Neuer Ordner (3)\src\vk\shaders\triangle.vert", "GLSL", 0, 0, 14, 0, 0, 4, 18
"d:\dev\Neuer Ordner (3)\src\vk\vulkan_base.h", "C++", 173, 0, 0, 0, 7, 33, 213
"d:\dev\Neuer Ordner (3)\src\vk\vulkan_commands.cpp", "C++", 124, 0, 0, 0, 0, 12, 136
"d:\dev\Neuer Ordner (3)\src\vk\vulkan_descriptors.cpp", "C++", 96, 0, 0, 0, 0, 16, 112
"d:\dev\Neuer Ordner (3)\src\vk\vulkan_device.cpp", "C++", 336, 0, 0, 0, 1, 60, 397
"d:\dev\Neuer Ordner (3)\src\vk\vulkan_images.cpp", "C++", 38, 0, 0, 0, 0, 8, 46
"d:\dev\Neuer Ordner (3)\src\vk\vulkan_instance.cpp", "C++", 195, 0, 0, 0, 19, 17, 231
"d:\dev\Neuer Ordner (3)\src\vk\vulkan_pipeline.cpp", "C++", 358, 0, 0, 0, 12, 49, 419
"d:\dev\Neuer Ordner (3)\tests\test1\Test.cpp", "C++", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 1846, 1, 21, 3, 56, 284, 2211
