"filename", "language", "C++", "Markdown", "GLSL", "Batch", "comment", "blank", "total"
"d:\Projects\Thesis\README.md", "Markdown", 0, 1, 0, 0, 0, 1, 2
"d:\Projects\Thesis\src\app\application.cpp", "C++", 229, 0, 0, 0, 7, 36, 272
"d:\Projects\Thesis\src\app\application.h", "C++", 78, 0, 0, 0, 5, 11, 94
"d:\Projects\Thesis\src\main.cpp", "C++", 13, 0, 0, 0, 0, 1, 14
"d:\Projects\Thesis\src\memory_mger.h", "C++", 6, 0, 0, 0, 26, 9, 41
"d:\Projects\Thesis\src\pch.h", "C++", 28, 0, 0, 0, 5, 5, 38
"d:\Projects\Thesis\src\sdl\sdl_base.cpp", "C++", 135, 0, 0, 0, 0, 15, 150
"d:\Projects\Thesis\src\sdl\sdl_base.h", "C++", 22, 0, 0, 0, 0, 4, 26
"d:\Projects\Thesis\src\thesis.h", "C++", 6, 0, 0, 0, 0, 3, 9
"d:\Projects\Thesis\src\vk\shaders\compile_shaders.bat", "Batch", 0, 0, 0, 3, 0, 0, 3
"d:\Projects\Thesis\src\vk\shaders\triangle.frag", "GLSL", 0, 0, 9, 0, 1, 4, 14
"d:\Projects\Thesis\src\vk\shaders\triangle.vert", "GLSL", 0, 0, 17, 0, 0, 4, 21
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 242, 0, 0, 0, 10, 46, 298
"d:\Projects\Thesis\src\vk\vulkan_commands.cpp", "C++", 165, 0, 0, 0, 1, 25, 191
"d:\Projects\Thesis\src\vk\vulkan_depth.cpp", "C++", 50, 0, 0, 0, 0, 8, 58
"d:\Projects\Thesis\src\vk\vulkan_descriptors.cpp", "C++", 122, 0, 0, 0, 1, 22, 145
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 352, 0, 0, 0, 3, 65, 420
"d:\Projects\Thesis\src\vk\vulkan_images.cpp", "C++", 323, 0, 0, 0, 11, 34, 368
"d:\Projects\Thesis\src\vk\vulkan_instance.cpp", "C++", 195, 0, 0, 0, 19, 17, 231
"d:\Projects\Thesis\src\vk\vulkan_model.cpp", "C++", 52, 0, 0, 0, 7, 7, 66
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 388, 0, 0, 0, 10, 48, 446
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 2411, 1, 26, 3, 106, 366, 2913
