"filename", "language", "C++", "GLSL", "Batch", "Markdown", "comment", "blank", "total"
"d:\Projects\Thesis\README.md", "Markdown", 0, 0, 0, 1, 0, 1, 2
"d:\Projects\Thesis\src\app\application.cpp", "C++", 212, 0, 0, 0, 7, 34, 253
"d:\Projects\Thesis\src\app\application.h", "C++", 78, 0, 0, 0, 5, 11, 94
"d:\Projects\Thesis\src\main.cpp", "C++", 13, 0, 0, 0, 0, 0, 13
"d:\Projects\Thesis\src\memory_mger.h", "C++", 27, 0, 0, 0, 5, 9, 41
"d:\Projects\Thesis\src\pch.h", "C++", 21, 0, 0, 0, 0, 3, 24
"d:\Projects\Thesis\src\sdl\sdl_base.cpp", "C++", 135, 0, 0, 0, 0, 15, 150
"d:\Projects\Thesis\src\sdl\sdl_base.h", "C++", 22, 0, 0, 0, 0, 4, 26
"d:\Projects\Thesis\src\thesis.h", "C++", 6, 0, 0, 0, 0, 3, 9
"d:\Projects\Thesis\src\vk\shaders\compile_shaders.bat", "Batch", 0, 0, 3, 0, 0, 0, 3
"d:\Projects\Thesis\src\vk\shaders\triangle.frag", "GLSL", 0, 7, 0, 0, 0, 2, 9
"d:\Projects\Thesis\src\vk\shaders\triangle.vert", "GLSL", 0, 14, 0, 0, 0, 4, 18
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 170, 0, 0, 0, 4, 31, 205
"d:\Projects\Thesis\src\vk\vulkan_commands.cpp", "C++", 124, 0, 0, 0, 0, 12, 136
"d:\Projects\Thesis\src\vk\vulkan_descriptors.cpp", "C++", 96, 0, 0, 0, 1, 17, 114
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 336, 0, 0, 0, 1, 60, 397
"d:\Projects\Thesis\src\vk\vulkan_instance.cpp", "C++", 195, 0, 0, 0, 19, 17, 231
"d:\Projects\Thesis\src\vk\vulkan_pipeline.cpp", "C++", 358, 0, 0, 0, 12, 49, 419
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 1798, 21, 3, 1, 54, 273, 2150
